post_id,date,content_type,campaign_name,impressions,reach,engagement,likes,comments,shares,saves,clicks,conversions,spend,age_group,gender,location,story_exits,profile_visits
POST_IG_188,2024-10-20 14:45:00,Video,Weekend Workshop,42700,39600,2930,2420,348,135,42,563,58,815.00,35-44,All,Perth,0,102
POST_IG_189,2024-10-21 10:15:00,Reel,Sunday Special,63700,59600,5100,4290,520,208,82,860,72,1170.00,18-24,All,Melbourne,0,182
POST_IG_190,2024-10-21 16:00:00,Image,Sunday Chill,25800,23600,1740,1470,188,62,18,322,40,515.00,35-44,Male,Brisbane,0,65
POST_IG_191,2024-10-22 08:45:00,Carousel,New Week Energy,29800,27500,2000,1650,210,98,40,385,50,600.00,25-34,All,Sydney,0,70
POST_IG_192,2024-10-22 14:00:00,Reel,Monday Motivation,56700,53000,4560,3840,465,182,78,772,68,1030.00,18-24,All,Adelaide,0,165
POST_IG_193,2024-10-23 10:30:00,Story,Morning Motivation,10800,10200,780,640,82,40,12,145,20,140.00,25-34,Female,Perth,290,35
POST_IG_194,2024-10-23 15:45:00,Video,Tech Tutorial,40300,37300,2770,2280,325,125,40,532,55,775.00,35-44,All,Melbourne,0,98
POST_IG_195,2024-10-24 11:15:00,Image,Product Feature,23100,21100,1540,1290,168,55,18,285,35,450.00,45-54,All,Brisbane,0,55
POST_IG_196,2024-10-24 16:30:00,Carousel,Product Launch,30900,28600,2080,1720,220,102,42,402,55,625.00,35-44,All,Sydney,0,72
POST_IG_197,2024-10-25 10:00:00,Reel,Hump Day,59600,55700,4780,4020,488,192,80,808,70,1090.00,18-24,All,Adelaide,0,172
POST_IG_198,2024-10-25 15:15:00,Story,Midweek Check,11400,10700,830,680,88,42,13,152,22,150.00,25-34,Female,Perth,305,38
POST_IG_199,2024-10-26 09:45:00,Video,How-to Thursday,41400,38400,2850,2350,338,130,42,547,58,795.00,35-44,All,Melbourne,0,100
POST_IG_200,2024-10-26 14:30:00,Reel,Pre-Weekend,67100,62900,5390,4530,550,220,85,910,75,1235.00,18-24,All,Brisbane,0,192
